tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2022-8888,Atp Cup,Hard,16,A,2022-01-03,298,105138,0.0,,Roberto Bautista Agut,R,183.0,ESP,,128034,0.0,,Hubert Hurkacz,R,196.0,POL,,7-6(6) 2-6 7-6(5),3,SF,164.0,1.0,2.0,96.0,64.0,50.0,20.0,16.0,1.0,4.0,24.0,3.0,120.0,80.0,62.0,20.0,16.0,6.0,7.0,19.0,2260.0,9.0,3706.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,297,105807,0.0,,Pablo Carreno Busta,R,188.0,ESP,,126591,0.0,,Jan Zielinski,R,186.5430535455861,POL,,6-2 6-1,3,SF,53.0,6.0,0.0,45.0,33.0,25.0,8.0,8.0,0.0,0.0,2.0,1.0,38.0,27.0,17.0,1.0,7.0,4.0,8.0,20.0,2230.0,860.0,18.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,296,106421,0.0,,Daniil Medvedev,R,198.0,RUS,,200000,0.0,,Felix Auger Aliassime,R,193.0,CAN,,6-4 6-0,3,SF,68.0,6.0,4.0,41.0,25.0,22.0,10.0,8.0,0.0,0.0,6.0,2.0,48.0,35.0,22.0,4.0,8.0,3.0,7.0,2.0,8640.0,11.0,3308.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,295,133430,0.0,,Denis Shapovalov,L,185.0,CAN,,126128,0.0,,Roman Safiullin,R,185.0,RUS,,6-4 5-7 6-4,3,SF,159.0,13.0,8.0,105.0,67.0,51.0,20.0,16.0,7.0,8.0,5.0,4.0,100.0,61.0,45.0,21.0,16.0,7.0,9.0,14.0,2475.0,167.0,409.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,294,134770,0.0,,Casper Ruud,R,183.0,NOR,23.0,105583,0.0,,Dusan Lajovic,R,180.0,SRB,,6-3 7-5,3,RR,100.0,1.0,3.0,65.0,39.0,31.0,11.0,11.0,2.0,4.0,4.0,0.0,63.0,38.0,24.0,9.0,10.0,3.0,7.0,8.0,4160.0,33.0,1591.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,293,105936,0.0,,Filip Krajinovic,R,185.0,SRB,,126340,0.0,,Viktor Durasovic,R,185.0,NOR,,6-2 7-5,3,RR,73.0,8.0,0.0,51.0,34.0,27.0,12.0,10.0,2.0,3.0,4.0,1.0,63.0,38.0,27.0,10.0,10.0,7.0,11.0,42.0,1402.0,345.0,137.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,292,106426,0.0,,Cristian Garin,R,185.0,CHI,,105583,0.0,,Dusan Lajovic,R,180.0,SRB,,4-6 6-4 3-0 RET,3,RR,134.0,4.0,1.0,92.0,59.0,36.0,14.0,11.0,9.0,13.0,6.0,5.0,79.0,51.0,29.0,13.0,12.0,8.0,14.0,17.0,2353.0,33.0,1591.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,291,105936,0.0,,Filip Krajinovic,R,185.0,SRB,,126214,0.0,,Alejandro Tabilo,L,188.0,CHI,,6-4 3-6 7-6(5),3,RR,145.0,5.0,2.0,97.0,65.0,49.0,12.0,15.0,2.0,6.0,11.0,4.0,101.0,65.0,42.0,19.0,16.0,1.0,5.0,42.0,1402.0,139.0,505.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,290,105138,0.0,,Roberto Bautista Agut,R,183.0,ESP,,105583,0.0,,Dusan Lajovic,R,180.0,SRB,,6-1 6-4,3,RR,84.0,1.0,0.0,50.0,31.0,28.0,10.0,9.0,2.0,2.0,2.0,0.0,54.0,32.0,23.0,8.0,8.0,4.0,7.0,19.0,2260.0,33.0,1591.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,289,105807,0.0,,Pablo Carreno Busta,R,188.0,ESP,,105936,0.0,,Filip Krajinovic,R,185.0,SRB,,6-3 6-4,3,RR,80.0,4.0,2.0,54.0,33.0,29.0,11.0,10.0,1.0,2.0,4.0,1.0,57.0,34.0,25.0,9.0,9.0,3.0,6.0,20.0,2230.0,42.0,1402.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,288,134770,0.0,,Casper Ruud,R,183.0,NOR,23.0,106426,0.0,,Cristian Garin,R,185.0,CHI,,6-4 6-1,3,RR,84.0,4.0,1.0,57.0,36.0,30.0,12.0,9.0,3.0,3.0,3.0,2.0,54.0,36.0,23.0,8.0,8.0,4.0,7.0,8.0,4160.0,17.0,2353.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,287,126214,0.0,,Alejandro Tabilo,L,188.0,CHI,,126340,0.0,,Viktor Durasovic,R,185.0,NOR,,6-1 6-7(5) 6-1,3,RR,109.0,11.0,0.0,77.0,52.0,38.0,21.0,14.0,1.0,2.0,11.0,6.0,95.0,57.0,36.0,16.0,12.0,6.0,11.0,139.0,505.0,345.0,137.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,286,105138,0.0,,Roberto Bautista Agut,R,183.0,ESP,,134770,0.0,,Casper Ruud,R,183.0,NOR,23.0,6-4 7-6(4),3,RR,105.0,2.0,0.0,63.0,39.0,36.0,14.0,11.0,0.0,0.0,10.0,3.0,71.0,43.0,36.0,12.0,11.0,2.0,3.0,19.0,2260.0,8.0,4160.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,285,105807,0.0,,Pablo Carreno Busta,R,188.0,ESP,,126340,0.0,,Viktor Durasovic,R,185.0,NOR,,6-3 6-3,3,RR,68.0,7.0,0.0,44.0,33.0,30.0,6.0,9.0,0.0,0.0,8.0,3.0,65.0,34.0,23.0,15.0,9.0,5.0,8.0,20.0,2230.0,345.0,137.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,284,105138,0.0,,Roberto Bautista Agut,R,183.0,ESP,,106426,0.0,,Cristian Garin,R,185.0,CHI,,6-0 6-3,3,RR,81.0,2.0,1.0,50.0,33.0,26.0,8.0,8.0,1.0,2.0,1.0,3.0,51.0,25.0,14.0,9.0,7.0,2.0,7.0,19.0,2260.0,17.0,2353.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,283,105807,0.0,,Pablo Carreno Busta,R,188.0,ESP,,126214,0.0,,Alejandro Tabilo,L,188.0,CHI,,6-4 7-6(4),3,RR,112.0,1.0,6.0,71.0,43.0,32.0,13.0,11.0,3.0,6.0,6.0,6.0,81.0,52.0,34.0,12.0,11.0,6.0,10.0,20.0,2230.0,139.0,505.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,282,106421,0.0,,Daniil Medvedev,R,198.0,RUS,,126610,0.0,,Matteo Berrettini,R,196.0,ITA,,6-2 6-7(5) 6-4,3,RR,157.0,8.0,1.0,91.0,59.0,47.0,22.0,15.0,2.0,2.0,6.0,1.0,106.0,70.0,56.0,12.0,15.0,8.0,11.0,2.0,8640.0,7.0,4568.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,281,206173,0.0,,Jannik Sinner,R,188.0,ITA,,126128,0.0,,Roman Safiullin,R,185.0,RUS,,7-6(6) 6-3,3,RR,116.0,11.0,2.0,90.0,55.0,39.0,17.0,11.0,11.0,12.0,4.0,2.0,70.0,43.0,29.0,14.0,10.0,3.0,5.0,10.0,3350.0,167.0,409.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,280,200005,0.0,,Ugo Humbert,L,188.0,FRA,,106421,0.0,,Daniil Medvedev,R,198.0,RUS,,6-7(5) 7-5 7-6(2),3,RR,175.0,1.0,2.0,123.0,75.0,48.0,30.0,18.0,6.0,9.0,14.0,7.0,123.0,69.0,54.0,25.0,18.0,10.0,14.0,35.0,1558.0,2.0,8640.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,279,126128,0.0,,Roman Safiullin,R,185.0,RUS,,126239,0.0,,Arthur Rinderknech,R,196.0,FRA,,2-6 7-5 6-3,3,RR,145.0,2.0,7.0,122.0,73.0,46.0,23.0,15.0,15.0,19.0,15.0,3.0,84.0,54.0,40.0,10.0,14.0,3.0,7.0,167.0,409.0,58.0,1029.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,278,106421,0.0,,Daniil Medvedev,R,198.0,RUS,,200282,0.0,,Alex De Minaur,R,183.0,AUS,,6-4 6-2,3,RR,80.0,8.0,2.0,46.0,33.0,25.0,7.0,9.0,2.0,4.0,2.0,0.0,63.0,34.0,18.0,10.0,9.0,7.0,12.0,2.0,8640.0,34.0,1561.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,277,126128,0.0,,Roman Safiullin,R,185.0,RUS,,105902,0.0,,James Duckworth,R,183.0,AUS,,7-6(6) 6-4,3,RR,118.0,12.0,3.0,62.0,36.0,29.0,15.0,11.0,2.0,5.0,5.0,3.0,101.0,42.0,27.0,28.0,11.0,10.0,14.0,167.0,409.0,49.0,1176.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,276,126610,0.0,,Matteo Berrettini,R,196.0,ITA,,200005,0.0,,Ugo Humbert,L,188.0,FRA,,6-4 7-6(6),3,RR,95.0,18.0,2.0,63.0,46.0,39.0,10.0,11.0,0.0,0.0,2.0,5.0,73.0,51.0,38.0,12.0,11.0,3.0,4.0,7.0,4568.0,35.0,1558.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,275,206173,0.0,,Jannik Sinner,R,188.0,ITA,,126239,0.0,,Arthur Rinderknech,R,196.0,FRA,,6-3 7-6(3),3,RR,96.0,3.0,3.0,61.0,35.0,30.0,16.0,11.0,1.0,2.0,6.0,1.0,74.0,47.0,35.0,10.0,10.0,4.0,6.0,10.0,3350.0,58.0,1029.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,274,200282,0.0,,Alex De Minaur,R,183.0,AUS,,126610,0.0,,Matteo Berrettini,R,196.0,ITA,,6-3 7-6(4),3,RR,84.0,2.0,1.0,61.0,39.0,30.0,16.0,11.0,0.0,1.0,6.0,1.0,63.0,43.0,32.0,10.0,10.0,1.0,3.0,34.0,1561.0,7.0,4568.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,273,206173,0.0,,Jannik Sinner,R,188.0,ITA,,126845,0.0,,Max Purcell,R,185.0,AUS,,6-1 6-3,3,RR,63.0,6.0,0.0,41.0,30.0,25.0,6.0,8.0,0.0,1.0,4.0,2.0,51.0,28.0,19.0,4.0,8.0,5.0,10.0,10.0,3350.0,176.0,386.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,272,200282,0.0,,Alex De Minaur,R,183.0,AUS,,200005,0.0,,Ugo Humbert,L,188.0,FRA,,3-6 7-6(2) 6-1,3,RR,137.0,4.0,0.0,82.0,53.0,36.0,23.0,13.0,2.0,3.0,4.0,6.0,103.0,66.0,45.0,19.0,15.0,4.0,7.0,34.0,1561.0,35.0,1558.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,271,126239,0.0,,Arthur Rinderknech,R,196.0,FRA,,105902,0.0,,James Duckworth,R,183.0,AUS,,6-4 7-6(6),3,RR,113.0,12.0,0.0,79.0,47.0,37.0,19.0,11.0,6.0,6.0,10.0,1.0,70.0,50.0,40.0,11.0,11.0,1.0,2.0,58.0,1029.0,49.0,1176.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,270,200000,0.0,,Felix Auger Aliassime,R,193.0,CAN,,100644,0.0,,Alexander Zverev,R,198.0,GER,,6-4 4-6 6-3,3,RR,151.0,7.0,1.0,84.0,53.0,40.0,15.0,14.0,7.0,9.0,5.0,2.0,92.0,59.0,37.0,20.0,15.0,4.0,8.0,11.0,3308.0,3.0,7840.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,269,133430,0.0,,Denis Shapovalov,L,185.0,CAN,,105526,0.0,,Jan Lennard Struff,R,193.0,GER,,7-6(5) 4-6 6-3,3,RR,154.0,9.0,2.0,112.0,85.0,60.0,19.0,16.0,5.0,6.0,4.0,3.0,106.0,61.0,44.0,27.0,15.0,3.0,4.0,14.0,2475.0,51.0,1134.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,268,100644,0.0,,Alexander Zverev,R,198.0,GER,,111815,0.0,,Cameron Norrie,L,188.0,GBR,,7-6(2) 6-1,3,RR,87.0,5.0,1.0,59.0,50.0,42.0,4.0,10.0,3.0,3.0,5.0,0.0,62.0,37.0,26.0,13.0,9.0,4.0,6.0,3.0,7840.0,12.0,2945.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,267,105554,0.0,,Daniel Evans,R,175.0,GBR,,105526,0.0,,Jan Lennard Struff,R,193.0,GER,,6-1 6-2,3,RR,69.0,4.0,1.0,43.0,25.0,20.0,12.0,8.0,0.0,0.0,3.0,3.0,49.0,27.0,18.0,7.0,7.0,7.0,11.0,25.0,1942.0,51.0,1134.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,266,100644,0.0,,Alexander Zverev,R,198.0,GER,,126203,0.0,,Taylor Fritz,R,193.0,USA,,6-4 6-4,3,RR,89.0,8.0,2.0,63.0,46.0,35.0,12.0,10.0,4.0,4.0,5.0,0.0,57.0,33.0,24.0,13.0,10.0,0.0,2.0,3.0,7840.0,23.0,2050.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,265,105526,0.0,,Jan Lennard Struff,R,193.0,GER,,104545,0.0,,John Isner,R,206.0,USA,,7-6(7) 4-6 7-5,3,RR,163.0,18.0,6.0,104.0,58.0,49.0,29.0,17.0,5.0,6.0,34.0,4.0,129.0,83.0,65.0,19.0,17.0,7.0,8.0,51.0,1134.0,24.0,1991.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,264,200000,0.0,,Felix Auger Aliassime,R,193.0,CAN,,111815,0.0,,Cameron Norrie,L,188.0,GBR,,7-6(4) 6-3,3,RR,119.0,8.0,9.0,70.0,43.0,35.0,10.0,11.0,5.0,7.0,2.0,4.0,82.0,54.0,33.0,12.0,10.0,7.0,10.0,11.0,3308.0,12.0,2945.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,263,105554,0.0,,Daniel Evans,R,175.0,GBR,,133430,0.0,,Denis Shapovalov,L,185.0,CAN,,6-4 6-4,3,RR,82.0,4.0,0.0,48.0,35.0,31.0,9.0,10.0,0.0,0.0,6.0,7.0,57.0,36.0,26.0,10.0,10.0,1.0,3.0,25.0,1942.0,14.0,2475.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,262,126203,0.0,,Taylor Fritz,R,193.0,USA,,200000,0.0,,Felix Auger Aliassime,R,193.0,CAN,,6-7(6) 6-4 6-4,3,RR,147.0,12.0,2.0,90.0,50.0,39.0,30.0,16.0,1.0,1.0,9.0,2.0,94.0,56.0,43.0,24.0,16.0,4.0,6.0,23.0,2050.0,11.0,3308.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,261,104545,0.0,,John Isner,R,206.0,USA,,111790,0.0,,Brayden Schnur,R,193.0,CAN,,6-1 6-3,3,RR,65.0,10.0,0.0,50.0,35.0,28.0,6.0,8.0,1.0,1.0,1.0,4.0,46.0,29.0,18.0,7.0,8.0,4.0,8.0,24.0,1991.0,238.0,264.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,260,126203,0.0,,Taylor Fritz,R,193.0,USA,,111815,0.0,,Cameron Norrie,L,188.0,GBR,,7-6(4) 3-6 6-1,3,RR,118.0,15.0,1.0,85.0,50.0,34.0,23.0,14.0,3.0,5.0,5.0,3.0,94.0,57.0,38.0,20.0,14.0,8.0,11.0,23.0,2050.0,12.0,2945.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,259,105554,0.0,,Daniel Evans,R,175.0,GBR,,104545,0.0,,John Isner,R,206.0,USA,,6-4 7-6(3),3,RR,94.0,4.0,2.0,56.0,34.0,30.0,19.0,11.0,0.0,0.0,16.0,1.0,68.0,48.0,34.0,12.0,11.0,6.0,7.0,25.0,1942.0,24.0,1991.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,258,128034,0.0,,Hubert Hurkacz,R,196.0,POL,,209362,0.0,,Aristotelis Thanos,R,186.5430535455861,GRE,,6-1 6-2,3,RR,54.0,5.0,0.0,38.0,29.0,23.0,7.0,7.0,3.0,3.0,2.0,2.0,49.0,27.0,14.0,8.0,8.0,3.0,8.0,9.0,3706.0,1078.0,10.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,257,111794,0.0,,Kamil Majchrzak,R,183.0,POL,,133018,0.0,,Michail Pervolarakis,R,193.0,CYP,,6-1 6-4,3,RR,79.0,1.0,3.0,51.0,34.0,27.0,8.0,9.0,1.0,2.0,3.0,3.0,58.0,32.0,23.0,6.0,8.0,1.0,5.0,117.0,633.0,399.0,106.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,256,106043,0.0,,Diego Schwartzman,R,170.0,ARG,,126774,0.0,,Stefanos Tsitsipas,R,193.0,GRE,,6-7(5) 6-3 6-3,3,RR,163.0,1.0,2.0,92.0,65.0,50.0,15.0,15.0,3.0,4.0,10.0,3.0,115.0,63.0,44.0,24.0,15.0,9.0,13.0,13.0,2625.0,4.0,6540.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,255,105643,0.0,,Federico Delbonis,L,190.0,ARG,,133018,0.0,,Michail Pervolarakis,R,193.0,CYP,,7-6(5) 6-1,3,RR,91.0,2.0,2.0,59.0,41.0,29.0,11.0,10.0,0.0,1.0,1.0,3.0,58.0,29.0,23.0,10.0,9.0,2.0,5.0,44.0,1327.0,399.0,106.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,254,126774,0.0,,Stefanos Tsitsipas,R,193.0,GRE,,105932,0.0,,Nikoloz Basilashvili,R,185.0,GEO,,4-1 RET,3,RR,33.0,5.0,2.0,21.0,12.0,10.0,4.0,3.0,0.0,0.0,1.0,1.0,13.0,4.0,2.0,4.0,2.0,2.0,3.0,4.0,6540.0,22.0,2101.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,253,133018,0.0,,Michail Pervolarakis,R,193.0,CYP,,106223,0.0,,Aleksandre Metreveli,R,183.0,GEO,,6-3 6-2,3,RR,68.0,6.0,2.0,54.0,33.0,25.0,15.0,9.0,0.0,0.0,0.0,3.0,45.0,23.0,13.0,11.0,8.0,2.0,5.0,399.0,106.0,570.0,55.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,252,128034,0.0,,Hubert Hurkacz,R,196.0,POL,,106043,0.0,,Diego Schwartzman,R,170.0,ARG,,6-1 6-4,3,RR,81.0,12.0,3.0,53.0,36.0,30.0,8.0,9.0,3.0,3.0,1.0,0.0,63.0,43.0,24.0,9.0,8.0,8.0,11.0,9.0,3706.0,13.0,2625.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,251,111794,0.0,,Kamil Majchrzak,R,183.0,POL,,105643,0.0,,Federico Delbonis,L,190.0,ARG,,6-3 7-6(3),3,RR,105.0,5.0,1.0,64.0,41.0,28.0,15.0,11.0,2.0,5.0,4.0,0.0,85.0,65.0,38.0,7.0,10.0,12.0,16.0,117.0,633.0,44.0,1327.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,250,128034,0.0,,Hubert Hurkacz,R,196.0,POL,,106223,0.0,,Aleksandre Metreveli,R,183.0,GEO,,6-7(5) 6-3 6-1,3,RR,122.0,16.0,0.0,76.0,60.0,48.0,11.0,14.0,0.0,0.0,5.0,5.0,100.0,50.0,33.0,25.0,14.0,6.0,10.0,9.0,3706.0,570.0,55.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,249,111794,0.0,,Kamil Majchrzak,R,183.0,POL,,126762,0.0,,Aleksandre Bakshi,L,186.5430535455861,GEO,,6-1 6-1,3,RR,53.0,1.0,2.0,41.0,23.0,18.0,10.0,7.0,1.0,2.0,0.0,6.0,52.0,35.0,17.0,5.0,7.0,6.0,12.0,117.0,633.0,974.0,13.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,248,106043,0.0,,Diego Schwartzman,R,170.0,ARG,,105932,0.0,,Nikoloz Basilashvili,R,185.0,GEO,,6-1 6-2,3,RR,61.0,5.0,2.0,41.0,27.0,21.0,9.0,8.0,1.0,2.0,2.0,4.0,47.0,29.0,16.0,3.0,7.0,4.0,9.0,13.0,2625.0,22.0,2101.0
2022-8888,Atp Cup,Hard,16,A,2022-01-03,247,105643,0.0,,Federico Delbonis,L,190.0,ARG,,106223,0.0,,Aleksandre Metreveli,R,183.0,GEO,,6-1 6-2,3,RR,65.0,4.0,2.0,34.0,22.0,19.0,7.0,7.0,0.0,1.0,1.0,2.0,58.0,35.0,17.0,8.0,8.0,3.0,9.0,44.0,1327.0,570.0,55.0
2022-8998,Adelaide 1,Hard,32,A,2022-01-03,300,104792,1.0,,Gael Monfils,R,193.0,FRA,,111575,2.0,,Karen Khachanov,R,198.0,RUS,,6-4 6-4,3,F,79.0,6.0,0.0,51.0,37.0,30.0,11.0,10.0,2.0,2.0,4.0,1.0,62.0,36.0,27.0,12.0,10.0,3.0,5.0,21.0,2158.0,29.0,1731.0
2022-8998,Adelaide 1,Hard,32,A,2022-01-03,299,104792,1.0,,Gael Monfils,R,193.0,FRA,,106423,0.0,WC,Thanasi Kokkinakis,R,196.0,AUS,,7-5 6-0,3,SF,80.0,7.0,3.0,57.0,33.0,28.0,12.0,9.0,4.0,4.0,4.0,2.0,58.0,41.0,23.0,8.0,9.0,6.0,10.0,21.0,2158.0,171.0,394.0
2022-8998,Adelaide 1,Hard,32,A,2022-01-03,298,111575,2.0,,Karen Khachanov,R,198.0,RUS,,105227,3.0,,Marin Cilic,R,198.0,CRO,,7-6(3) 6-3,3,SF,114.0,6.0,2.0,87.0,62.0,46.0,13.0,11.0,4.0,4.0,8.0,3.0,67.0,36.0,28.0,15.0,10.0,1.0,2.0,29.0,1731.0,30.0,1710.0
2022-8998,Adelaide 1,Hard,32,A,2022-01-03,297,104792,1.0,,Gael Monfils,R,193.0,FRA,,126205,6.0,,Tommy Paul,R,185.0,USA,,6-4 6-1,3,QF,68.0,5.0,4.0,52.0,31.0,23.0,11.0,9.0,2.0,4.0,1.0,1.0,47.0,27.0,18.0,5.0,8.0,2.0,7.0,21.0,2158.0,43.0,1349.0
2022-8998,Adelaide 1,Hard,32,A,2022-01-03,296,106423,0.0,WC,Thanasi Kokkinakis,R,196.0,AUS,,144707,0.0,,Mikael Ymer,R,183.0,SWE,,7-6(9) 4-6 6-4,3,QF,164.0,15.0,1.0,103.0,74.0,58.0,11.0,16.0,1.0,3.0,4.0,3.0,106.0,75.0,53.0,17.0,16.0,1.0,3.0,171.0,394.0,94.0,782.0
2022-8998,Adelaide 1,Hard,32,A,2022-01-03,295,105227,3.0,,Marin Cilic,R,198.0,CRO,,111513,7.0,,Laslo Djere,R,188.0,SRB,,6-3 6-2,3,QF,67.0,7.0,1.0,43.0,29.0,25.0,11.0,9.0,0.0,0.0,5.0,0.0,47.0,28.0,15.0,11.0,8.0,4.0,7.0,30.0,1710.0,52.0,1131.0
2022-8998,Adelaide 1,Hard,32,A,2022-01-03,294,111575,2.0,,Karen Khachanov,R,198.0,RUS,,106078,0.0,Q,Egor Gerasimov,R,196.0,BLR,,7-5 6-3,3,QF,115.0,8.0,1.0,78.0,55.0,40.0,6.0,10.0,5.0,8.0,2.0,6.0,83.0,48.0,32.0,11.0,11.0,7.0,13.0,29.0,1731.0,113.0,665.0
2022-8998,Adelaide 1,Hard,32,A,2022-01-03,293,104792,1.0,,Gael Monfils,R,193.0,FRA,,207678,0.0,,Juan Manuel Cerundolo,L,183.0,ARG,,6-2 6-1,3,R16,54.0,5.0,1.0,40.0,29.0,24.0,5.0,8.0,0.0,1.0,0.0,2.0,43.0,27.0,11.0,7.0,7.0,3.0,8.0,21.0,2158.0,90.0,803.0
2022-8998,Adelaide 1,Hard,32,A,2022-01-03,292,126205,6.0,,Tommy Paul,R,185.0,USA,,106121,0.0,Q,Taro Daniel,R,191.0,JPN,,6-4 6-7(1) 6-4,3,R16,154.0,8.0,4.0,94.0,57.0,43.0,18.0,16.0,1.0,4.0,3.0,3.0,103.0,64.0,49.0,13.0,16.0,3.0,8.0,43.0,1349.0,125.0,584.0
2022-8998,Adelaide 1,Hard,32,A,2022-01-03,291,106423,0.0,WC,Thanasi Kokkinakis,R,196.0,AUS,,126207,4.0,,Frances Tiafoe,R,188.0,USA,,3-6 7-5 6-1,3,R16,134.0,11.0,3.0,85.0,54.0,39.0,16.0,14.0,3.0,6.0,5.0,3.0,97.0,69.0,41.0,13.0,14.0,5.0,10.0,171.0,394.0,38.0,1492.0
2022-8998,Adelaide 1,Hard,32,A,2022-01-03,290,144707,0.0,,Mikael Ymer,R,183.0,SWE,,126952,8.0,,Soon Woo Kwon,R,180.0,KOR,24.0,6-3 6-2,3,R16,136.0,5.0,3.0,60.0,38.0,28.0,13.0,9.0,8.0,8.0,1.0,3.0,55.0,26.0,16.0,15.0,8.0,6.0,9.0,94.0,782.0,53.0,1115.0
2022-8998,Adelaide 1,Hard,32,A,2022-01-03,289,111513,7.0,,Laslo Djere,R,188.0,SRB,,144895,0.0,,Corentin Moutet,L,178.0,FRA,,4-6 7-5 0-0 Def.,3,R16,110.0,6.0,3.0,73.0,49.0,38.0,9.0,11.0,9.0,11.0,2.0,2.0,60.0,42.0,33.0,9.0,11.0,1.0,3.0,52.0,1131.0,92.0,797.0
2022-8998,Adelaide 1,Hard,32,A,2022-01-03,288,105227,3.0,,Marin Cilic,R,198.0,CRO,,106329,0.0,,Thiago Monteiro,L,183.0,BRA,,6-4 7-6(3),3,R16,116.0,16.0,3.0,68.0,48.0,41.0,10.0,11.0,2.0,2.0,7.0,0.0,75.0,49.0,37.0,12.0,11.0,6.0,7.0,30.0,1710.0,89.0,805.0
2022-8998,Adelaide 1,Hard,32,A,2022-01-03,287,106078,0.0,Q,Egor Gerasimov,R,196.0,BLR,,126149,0.0,,Gianluca Mager,R,185.0,ITA,27.0,6-1 3-6 6-3,3,R16,100.0,4.0,3.0,76.0,48.0,40.0,14.0,13.0,2.0,3.0,9.0,5.0,72.0,45.0,33.0,11.0,12.0,2.0,5.0,113.0,665.0,62.0,978.0
2022-8998,Adelaide 1,Hard,32,A,2022-01-03,286,111575,2.0,,Karen Khachanov,R,198.0,RUS,,105449,0.0,,Steve Johnson,R,188.0,USA,32.0,6-4 4-6 6-2,3,R16,120.0,16.0,2.0,91.0,53.0,40.0,20.0,14.0,6.0,8.0,8.0,2.0,77.0,34.0,25.0,22.0,14.0,1.0,5.0,29.0,1731.0,85.0,812.0
2022-8998,Adelaide 1,Hard,32,A,2022-01-03,284,207678,0.0,,Juan Manuel Cerundolo,L,183.0,ARG,,106109,0.0,WC,Alex Bolt,L,183.0,AUS,,6-2 6-4,3,R32,79.0,2.0,4.0,71.0,48.0,34.0,10.0,9.0,9.0,10.0,6.0,5.0,49.0,29.0,22.0,7.0,9.0,2.0,6.0,90.0,803.0,137.0,506.0
2022-8998,Adelaide 1,Hard,32,A,2022-01-03,283,106121,0.0,Q,Taro Daniel,R,191.0,JPN,,207518,0.0,,Lorenzo Musetti,R,185.0,ITA,,6-4 6-7(5) 6-3,3,R32,153.0,12.0,1.0,97.0,70.0,55.0,15.0,16.0,0.0,0.0,3.0,2.0,92.0,56.0,41.0,21.0,15.0,2.0,4.0,125.0,584.0,59.0,1004.0
