Gender,Height,Origin,Hand,Age,Aces,Double Faults,Breakpoints Won,Match Outcome
Men,185-189,SUI,R,40+,4-6,1-3,9-12,Winner
Men,180-184,ESP,R,40+,1-3,4-6,1-4,Winner
Men,195+,AUS,R,25-29,>6,<=0,<=0,Winner
Men,195+,FRA,R,25-29,4-6,1-3,1-4,Winner
Men,195+,AUS,R,25-29,>6,1-3,5-8,Winner
Men,175-179,FRA,L,20-24,4-6,1-3,1-4,Winner
Men,195+,FRA,R,25-29,>6,1-3,5-8,Winner
Men,195+,CRO,R,30-34,>6,1-3,1-4,Winner
Men,195+,AUS,R,25-29,>6,1-3,1-4,Winner
Men,180-184,BRA,L,25-29,4-6,1-3,5-8,Winner
Men,175-179,FRA,L,20-24,1-3,1-3,5-8,Winner
Men,195+,RUS,R,25-29,>6,1-3,<=0,Winner
Men,195+,FRA,R,25-29,>6,<=0,1-4,Winner
Men,185-189,USA,R,40+,>6,1-3,1-4,Winner
Men,195+,CRO,R,30-34,>6,1-3,1-4,Winner
Men,185-189,AUS,R,25-29,>6,1-3,<=0,Winner
Men,195+,AUS,R,25-29,>6,4-6,<=0,Winner
Men,180-184,BRA,L,25-29,>6,1-3,1-4,Winner
Men,175-179,FRA,L,20-24,1-3,1-3,5-8,Winner
Men,185-189,HUN,R,40+,1-3,1-3,1-4,Winner
Men,185-189,ITA,R,25-29,>6,1-3,5-8,Winner
Men,195+,FRA,R,25-29,>6,<=0,1-4,Winner
Men,180-184,KOR,R,40+,4-6,4-6,5-8,Winner
Men,185-189,USA,R,40+,1-3,1-3,<=0,Winner
Men,185-189,FRA,R,25-29,4-6,<=0,<=0,Winner
Men,180-184,ESP,R,40+,4-6,1-3,1-4,Winner
Men,185-189,AUS,R,25-29,>6,1-3,<=0,Winner
Men,185-189,USA,R,30-34,>6,4-6,<=0,Winner
Men,195+,AUS,R,25-29,>6,<=0,1-4,Winner
Men,185-189,RUS,R,25-29,4-6,1-3,5-8,Winner
Men,185-189,RUS,R,25-29,>6,4-6,5-8,Winner
Men,190-194,GBR,R,40+,>6,<=0,1-4,Winner
Men,185-189,RUS,R,25-29,4-6,1-3,9-12,Winner
Men,175-179,GBR,R,30-34,1-3,4-6,1-4,Winner
Men,195+,USA,R,40+,>6,<=0,<=0,Winner
Men,190-194,GBR,R,40+,1-3,1-3,1-4,Winner
Men,185-189,RUS,R,25-29,4-6,4-6,1-4,Winner
Men,190-194,ITA,R,25-29,4-6,<=0,<=0,Winner
Men,175-179,GBR,R,30-34,1-3,1-3,<=0,Winner
Men,195+,USA,R,40+,>6,4-6,<=0,Winner
Men,185-189,USA,R,20-24,>6,<=0,1-4,Winner
Men,195+,USA,R,40+,>6,4-6,1-4,Winner
Men,180-184,BEL,R,30-34,>6,4-6,1-4,Winner
Men,190-194,GBR,R,40+,>6,1-3,9-12,Winner
Men,180-184,SRB,R,20-24,4-6,1-3,1-4,Winner
Men,170-174,ARG,R,20-24,>6,1-3,9-12,Winner
Men,190-194,ITA,R,25-29,>6,1-3,1-4,Winner
Men,185-189,ESP,R,40+,4-6,1-3,1-4,Winner
Men,195+,USA,R,40+,>6,1-3,1-4,Winner
Men,180-184,SRB,R,30-34,1-3,1-3,9-12,Winner
Men,175-179,ITA,R,40+,>6,1-3,1-4,Winner
